#TYPE System.Management.Automation.PSCustomObject
"Time","Type","Message"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500145"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500163"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9673"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500127"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500192"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500214"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500172"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9668"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500197"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9678"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500104"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9635"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500153"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500186"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500135"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500095"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9670"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500148"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500120"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500187"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500195"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500199"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
